row_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
0013b9b5866c893,,cat_1,cat_0,cat_4,cat_2,cat_2,cat_1,cat_1,cat_5,cat_1,cat_5,cat_1,0
002400f5fc20190,cat_7,,cat_0,cat_5,cat_0,cat_5,cat_1,cat_1,cat_7,cat_1,cat_5,cat_2,1
00299de17b92fa2,cat_5,cat_0,cat_0,cat_1,cat_1,cat_2,cat_6,,cat_5,cat_0,cat_1,cat_3,0
002b74b72ca679b,,,cat_0,cat_0,cat_3,cat_0,cat_6,cat_3,cat_7,cat_0,cat_6,cat_2,1
002be66352f9bdc,cat_4,cat_0,cat_1,cat_5,cat_3,cat_2,cat_6,cat_1,cat_4,cat_1,cat_2,cat_4,0
003f19a64766afe,cat_1,,cat_0,cat_0,,cat_1,cat_0,cat_2,cat_3,cat_0,cat_1,cat_1,1
005105134701091,cat_0,,cat_0,cat_2,cat_3,cat_4,cat_1,,cat_4,cat_1,cat_1,cat_1,1
0052bd63aed89c8,cat_6,cat_1,cat_0,cat_5,cat_2,cat_2,cat_4,cat_2,cat_5,cat_0,cat_0,cat_3,1
006346f28c47f3b,cat_0,cat_1,cat_0,cat_2,cat_4,cat_5,cat_5,cat_0,cat_3,cat_1,cat_5,cat_0,0
006a672fadd2d3a,cat_0,,cat_0,cat_1,cat_3,cat_2,cat_6,cat_4,cat_2,cat_1,cat_1,cat_3,1
006a7ef64176bac,cat_1,cat_1,cat_0,cat_0,cat_2,cat_3,cat_5,,cat_2,cat_0,cat_3,cat_4,1
00704c3f4ac568c,cat_5,cat_0,cat_0,cat_0,cat_1,cat_2,cat_2,,cat_5,cat_0,cat_4,cat_4,1
00734de474e1de6,,,cat_0,cat_1,cat_4,cat_3,cat_6,,cat_0,cat_1,cat_1,cat_0,0
007b0e2d9496564,cat_0,cat_1,cat_0,cat_1,cat_3,cat_2,cat_2,,cat_7,cat_1,cat_0,cat_7,1
007f2f242b1ab92,,,cat_0,cat_5,,cat_1,cat_4,cat_1,cat_5,cat_0,cat_1,cat_5,0
0081fc03bbc84d9,,,cat_0,cat_1,cat_3,cat_1,cat_6,cat_4,cat_0,cat_0,cat_6,cat_0,0
