row_id,target,Usage
00016ff7ee159dd,1,Public
0006a7f377933a5,0,Private
000c26e859eb37f,0,Public
000c38e3a86c9c6,0,Public
001c11b1710f68e,0,Private
001c9d649600c20,1,Private
001f2f300713d2d,0,Private
003ebae30facff7,1,Public
00505cfde8ec087,0,Private
0062fe717d74a2b,1,Public
00639eaa4a61755,1,Public
006a9ec78e84256,1,Private
006f234023ad42f,1,Public
00720bc6442c9ff,0,Private
007cb448490b628,1,Public
007cf94bebba30a,1,Public
007ea4d354248d6,1,Private
009df43de09660c,1,Private
00a894bb5a7f0f9,1,Private
00ab18e0e05db12,0,Public
00b439ddef0855c,0,Public
00b5ac0b172a9d1,0,Public
00b6e9bb90fe259,1,Private
00c378bf37a6cf3,0,Private
00c38d7b752fee0,0,Public
00cce502bc5f95c,0,Public
00cef2d6407f822,0,Public
00d1f5133d18568,0,Public
00d341b8bbe3795,0,Public
00d7b1c1cdfa194,1,Private
00f5d771bf4e8f2,1,Private
00fae9dd26f1ff8,1,Private
010267010f501fd,0,Public
01070ff3d4c34ab,0,Public
010852d2d0b3b4e,0,Public
010ca7967d1fb07,1,Public
010fed02677a5bc,1,Private
0114a165fe27dc2,1,Private
011978bcaf882fa,0,Private
011999e8d9dbbce,1,Private
011ead62ec60686,0,Public
0120e8600df24ea,0,Public
012243ebed4c794,0,Public
013de315dad2be1,0,Public
0143cd5f5164f00,0,Public
0143f655e19f8f7,1,Public
01499780ade5c0c,1,Private
014f66d76ca6899,0,Private
01593309b543071,0,Public
016e0ed67c8337e,0,Private
0176ef4f9496cb1,0,Public
017ea250fde7153,1,Private
018554569d2bac1,1,Public
0188a797d11c5fe,1,Public
0197f783f0b8368,0,Public
0199894c53b9e25,1,Public
019f72f9e568fe6,1,Public
01a651dfbe2631a,0,Private
01a81e36bbbeafb,1,Private
01a895a9445f279,1,Public
01a8b7f149c4f24,1,Public
01ab1726bbae9c4,0,Public
01ad69adf6c398a,1,Public
01aedc3dabdf646,1,Private
01b18235026a232,1,Public
01c600b5961b993,1,Public
01c7b8e09ca271d,0,Public
01d2b84132d636a,1,Public
01fa1e9a482e0fb,1,Public
020406d97cf8022,1,Private
0205e0bde330774,0,Private
020824260530ec7,0,Public
020c8d1e1211969,1,Private
021685b056bbabb,1,Private
02195906d66b942,1,Private
0219b0c21d5d282,1,Public
021a59f5a67c596,0,Private
021c90939d0a456,0,Private
021d3ab516eed03,0,Private
021d9e7ebe2e27f,1,Private
0222ff4253a4afd,1,Public
0229651182e81c1,0,Public
0229f6247ef41ca,0,Public
022a2451c4298eb,0,Private
02332ff3716e660,0,Public
023c0137003cea7,1,Public
0246087d9a069b2,1,Public
0246f94ee3987b4,1,Public
024a5b560249d52,1,Private
025323d343fa69f,0,Public
025903c69596803,0,Public
025e13a11e6c39f,1,Public
025ebe26a9a2d3a,0,Private
0265a30a2432cb3,1,Public
0267fc78c45c385,0,Public
02741a5134bafee,1,Public
027a2e973e919d6,1,Public
028620e3b248cbd,1,Private
02876de9a3555fc,0,Public
0297db88a3ec800,1,Private
029dbc7d15e7696,1,Public
02b352290c12e02,0,Private
02b6b6a061e8503,1,Public
02b6f7b9a8dd7f5,1,Private
02b81a7fccbbfb1,0,Public
02b8880a0cda481,0,Public
02c45a95c17905a,1,Public
02c705580e9a0f2,1,Private
02ccd0b301b5fd1,0,Private
02d5f6053a2b17f,0,Private
02da9059b55fc18,0,Public
02e3efd6028bcaa,1,Private
02e50ee6e82a0b9,0,Public
02e7c68102f0681,1,Private
02e809d3f7b2c54,0,Private
02e838bbf1e7f76,1,Private
02ef4565a75a26c,1,Public
02fe55681ad5eb8,1,Public
0306b96c0e62431,0,Public
0309c4fcf5b5937,0,Private
030b82d987a9e27,0,Private
031ccdcf0af77fa,1,Private
0323b5a3fd5fc2b,1,Private
0335270997d8dd8,1,Private
033c86eece7f012,1,Public
03460a70ed2b801,1,Public
0350f3486ccc064,1,Public
03556aadd31d633,1,Public
035d7a3cd162fe9,0,Public
035f1d44ff71500,0,Private
03618be7c5c346a,1,Public
037cd10b7ea356a,1,Private
038142579440a7d,1,Private
0389cc1baa01be8,0,Private
038f1392f1cfd78,0,Private
0397ff6bdc2ada0,1,Private
03981ceae75fd6f,1,Private
039e2576101b399,1,Public
03a8d761e15b920,1,Public
03b0f7f592244f3,0,Private
03b55453b71cc71,1,Public
03bba7535df3f15,1,Private
03bc9561453d3a0,1,Public
03bd6f0275808c0,1,Public
03dd168f3458eb1,1,Public
03e3546c731e3a0,1,Public
03e3d799dc9e970,1,Public
03e8fefab233283,1,Private
03e90e211008442,1,Private
03f0746f91153c7,0,Public
03f90a8c8080d5a,1,Private
03fcac8fbe54dcb,1,Public
040e9aeb32aab78,0,Private
0412cea99fd7ddb,1,Private
04171c996774262,0,Public
041a441f7024b29,1,Public
041bf1c7b2080d1,1,Private
041d05146d0fa7d,1,Public
041e5f0e1482257,1,Private
043a552805af5c3,1,Public
044466509e90163,0,Public
04458737409ab3c,0,Private
044d8242baf4037,1,Public
0454fd62f44205e,0,Public
04562546d722ec6,0,Public
0456fa90ec59258,0,Private
0466c6f7282656c,0,Private
046bd2f6d116c09,0,Private
046e4fdb5f2b569,1,Private
0478e0df71556da,0,Private
048468484e61a99,1,Public
04945b4c18959e3,1,Public
04a3e69a9afc6c5,1,Public
04a46c0e479ffbc,0,Public
04a46e4a7200ff6,1,Private
04b1c9256d5b435,1,Private
04b96867cb5caa3,1,Private
04c7dd37b21d91b,0,Private
04d2aa601209513,1,Private
04da150a2620b83,1,Private
04e578278e3d5e4,0,Private
04e5cfe9c7f8052,1,Public
04ebfb9fa6b2586,0,Public
04f5369a849744e,0,Private
04f7bcea696f279,0,Public
04fa1bd2c1d77c1,1,Private
04fa4d2471b50c6,1,Public
04fbd1f1e4ddba3,0,Private
04fbdb91fb040e1,0,Private
050839fd793183a,0,Public
05151b17c20f660,0,Public
051f2dd957520fa,0,Public
05237899321ba0b,1,Public
052c5b081e20665,0,Private
0533c0036ce865d,1,Public
053783574862b56,1,Public
053797b0ff440d5,0,Private
05419289ab64a6d,1,Public
055d5a9c975e51e,1,Private
0563102a08813ab,1,Private
056bffde35a1672,1,Private
056ce5bbca40afd,0,Private
056cecbf8a9748d,1,Private
056e7397a1895dd,0,Public
0583206e715044a,0,Private
0584938d915c78c,0,Public
058580305b38946,0,Public
05866460ff27c3e,0,Public
058665384ae33c3,0,Public
058a167a6cb2adc,1,Public
05902a6e868b7f7,0,Private
05916a998f62f28,0,Public
05971e7c4bdea8a,1,Public
0598e59d5ffdbc6,0,Public
059daee6b40acf8,0,Public
05a093aadcc8225,1,Private
05a483f23b58560,0,Public
05b4d927de66420,1,Private
05ba873a0cd7c12,1,Private
05c41ef22673477,1,Private
05d76b8528b8675,1,Public
05e0cd600182143,0,Public
05e133584ffe139,0,Public
05e968ceaf7064d,0,Public
05eb9f195c73b36,1,Private
05f71f0cd3b5e75,1,Public
05fdea29bed7c80,1,Private
06061be564fa97b,1,Private
0606707def905bc,0,Private
060e2ba7608ad07,1,Private
0612167390bb363,0,Private
