dataset,n_train,ratio,n_obj,has_obj,l2,msl,base_pub,base_prv,base_n_encoded,base_n_marked_cat,ORDCAT_pub,ORDCAT_prv,ORDCAT_n_encoded,ORDCAT_n_marked_cat,ORD_pub,ORD_prv,ORD_n_encoded,ORD_n_marked_cat
train_01,14957,0.0008022999264558401,5,True,0.0,20,0.7102870983349717,0.7048178137651822,0,5,0.7102870983349717,0.7048178137651822,5,5,0.7110688603362825,0.7033246387479798,5,0
train_02,14929,0.001875544242749012,2,True,0.0,20,0.9643700590861614,0.9634800627240143,0,2,0.9643700590861614,0.9634800627240143,2,2,0.9648796708276158,0.9634037378392217,2,0
train_03,3501,0.005141388174807198,7,True,0.0,20,0.79257860385303,0.8095448403699343,0,7,0.79257860385303,0.8095448403699343,7,7,0.7854210380366595,0.7968964323181196,7,0
train_04,8775,0.0013675213675213675,0,False,0.0,20,0.8236471114650334,0.8249596159615962,0,0,0.8236471114650334,0.8249596159615962,0,0,0.8236471114650334,0.8249596159615962,0,0
train_05,1060,0.008490566037735849,5,True,0.0,20,0.6531348175078051,0.6568729335399399,0,5,0.6531348175078051,0.6568729335399399,5,5,0.6462507363756682,0.6461757096556504,5,0
train_06,10803,0.0008331019161344071,9,True,0.0,20,0.7996932479509196,0.8137084747042992,0,9,0.7996932479509196,0.8137084747042992,9,9,0.8004575680732109,0.8143989459451199,9,0
train_07,10417,0.0016319477776711145,6,True,0.0,20,0.823647674944289,0.826507438189261,0,6,0.823647674944289,0.826507438189261,6,6,0.8288245296078032,0.826327398753423,6,0
train_08,8173,0.0014682491129328276,12,True,0.0,20,0.8460265451826358,0.8411095500558378,0,12,0.8460265451826358,0.8411095500558378,12,12,0.8459999769528609,0.8436681596759408,12,0
train_09,1109,0.016230838593327322,4,True,1.0,50,0.6204240363998369,0.6334741379351727,0,4,0.6204240363998369,0.6334741379351727,4,4,0.6221156565033439,0.6313119053680428,4,0
train_10,11800,0.002288135593220339,0,False,0.0,20,0.8368071738891478,0.8477427122593616,0,0,0.8368071738891478,0.8477427122593616,0,0,0.8368071738891478,0.8477427122593616,0,0
train_11,28879,0.0006925447557048374,0,False,0.0,20,0.8281288505544799,0.8166544351437908,0,0,0.8281288505544799,0.8166544351437908,0,0,0.8281288505544799,0.8166544351437908,0,0
train_12,49432,0.0001618384851917786,3,True,0.0,20,0.7948877046382947,0.7695051699332349,0,3,0.7948877046382947,0.7695051699332349,3,3,0.7954526654518382,0.7703363720611125,3,0
train_13,500,0.018,4,True,1.0,50,0.6283801935207741,0.644000096000384,0,4,0.6283801935207741,0.644000096000384,4,4,0.6293101172404689,0.6429195316781268,4,0
train_14,11108,0.0020705797623334532,15,True,0.0,20,0.7975249216637995,0.8044250066087149,0,15,0.7975249216637995,0.8044250066087149,15,15,0.7961431581264848,0.8065011511645099,15,0
train_15,500,0.06,24,True,1.0,70,0.8410969558065426,0.843626698522491,0,24,0.8410969558065426,0.843626698522491,24,24,0.8348760859971968,0.8339908878642657,24,0
train_16,1809,0.011608623548922056,0,False,1.0,20,0.892160096009601,0.89325466058738,0,0,0.892160096009601,0.89325466058738,0,0,0.892160096009601,0.89325466058738,0,0
