[OK] train_01 seed_00 (n=14957, ratio=0.00080, n_obj=5, l2=0.0, msl=20, n_iter=42): pub=0.710287 prv=0.704818
[OK] train_01 seed_01 (n=14957, ratio=0.00080, n_obj=5, l2=0.0, msl=20, n_iter=59): pub=0.710838 prv=0.703003
[OK] train_01 seed_02 (n=14957, ratio=0.00080, n_obj=5, l2=0.0, msl=20, n_iter=51): pub=0.707332 prv=0.704383
[OK] train_01 seed_03 (n=14957, ratio=0.00080, n_obj=5, l2=0.0, msl=20, n_iter=45): pub=0.709073 prv=0.704730
[OK] train_01 seed_04 (n=14957, ratio=0.00080, n_obj=5, l2=0.0, msl=20, n_iter=34): pub=0.711782 prv=0.704622
[OK] train_01 seed_05 (n=14957, ratio=0.00080, n_obj=5, l2=0.0, msl=20, n_iter=54): pub=0.710932 prv=0.704660
[OK] train_01 seed_06 (n=14957, ratio=0.00080, n_obj=5, l2=0.0, msl=20, n_iter=44): pub=0.711221 prv=0.705424
[OK] train_01 seed_07 (n=14957, ratio=0.00080, n_obj=5, l2=0.0, msl=20, n_iter=51): pub=0.709497 prv=0.702857
[OK] train_01 seed_08 (n=14957, ratio=0.00080, n_obj=5, l2=0.0, msl=20, n_iter=33): pub=0.711812 prv=0.706334
[OK] train_01 seed_09 (n=14957, ratio=0.00080, n_obj=5, l2=0.0, msl=20, n_iter=53): pub=0.706684 prv=0.705134
[OK] train_02 seed_00 (n=14929, ratio=0.00188, n_obj=2, l2=0.0, msl=20, n_iter=294): pub=0.964370 prv=0.963480
[OK] train_02 seed_01 (n=14929, ratio=0.00188, n_obj=2, l2=0.0, msl=20, n_iter=263): pub=0.964418 prv=0.962952
[OK] train_02 seed_02 (n=14929, ratio=0.00188, n_obj=2, l2=0.0, msl=20, n_iter=228): pub=0.966609 prv=0.964580
[OK] train_02 seed_03 (n=14929, ratio=0.00188, n_obj=2, l2=0.0, msl=20, n_iter=275): pub=0.966110 prv=0.963754
[OK] train_02 seed_04 (n=14929, ratio=0.00188, n_obj=2, l2=0.0, msl=20, n_iter=163): pub=0.961504 prv=0.962223
[OK] train_02 seed_05 (n=14929, ratio=0.00188, n_obj=2, l2=0.0, msl=20, n_iter=199): pub=0.964735 prv=0.962870
[OK] train_02 seed_06 (n=14929, ratio=0.00188, n_obj=2, l2=0.0, msl=20, n_iter=221): pub=0.965452 prv=0.964077
[OK] train_02 seed_07 (n=14929, ratio=0.00188, n_obj=2, l2=0.0, msl=20, n_iter=300): pub=0.965289 prv=0.963691
[OK] train_02 seed_08 (n=14929, ratio=0.00188, n_obj=2, l2=0.0, msl=20, n_iter=268): pub=0.965295 prv=0.963875
[OK] train_02 seed_09 (n=14929, ratio=0.00188, n_obj=2, l2=0.0, msl=20, n_iter=293): pub=0.965582 prv=0.964815
[OK] train_03 seed_00 (n=3501, ratio=0.00514, n_obj=7, l2=0.0, msl=20, n_iter=45): pub=0.792579 prv=0.809545
[OK] train_03 seed_01 (n=3501, ratio=0.00514, n_obj=7, l2=0.0, msl=20, n_iter=82): pub=0.787040 prv=0.808346
[OK] train_03 seed_02 (n=3501, ratio=0.00514, n_obj=7, l2=0.0, msl=20, n_iter=51): pub=0.794156 prv=0.809101
[OK] train_03 seed_03 (n=3501, ratio=0.00514, n_obj=7, l2=0.0, msl=20, n_iter=55): pub=0.793236 prv=0.808118
[OK] train_03 seed_04 (n=3501, ratio=0.00514, n_obj=7, l2=0.0, msl=20, n_iter=36): pub=0.797756 prv=0.808774
[OK] train_03 seed_05 (n=3501, ratio=0.00514, n_obj=7, l2=0.0, msl=20, n_iter=35): pub=0.796556 prv=0.809561
